1304314;EIDW_DEL;2017-02-11;2017-05-06;931070
1304314;EIDW_GND;2017-02-11;2017-05-06;931070
1304314;EIDW_TWR;2017-02-11;2017-05-06;931070
1304314;EIDW_APP;2017-02-11;2017-05-06;931070
1122778;EIDW_DEL;2017-01-08;2017-04-02;931070
1122778;EIDW_GND;2017-01-08;2017-04-02;931070
1122778;EIDW_TWR;2017-01-08;2017-04-02;931070
1122778;EIDW_APP;2017-01-08;2017-04-02;931070
1348379;EIDW_DEL;2016-12-31;2017-03-25;931070
1227329;EIDW_DEL;2016-10-16;2017-03-25;931070
1348379;EIDW_GND;2016-12-31;2017-03-25;931070
1227329;EIDW_GND;2016-10-16;2017-03-25;931070
1227329;EIDW_TWR;2016-10-16;2017-03-25;931070
1348379;EIDW_TWR;2016-10-16;2017-03-25;1254805
1227329;EIDW_APP;2016-07-26;2017-03-25;931070
1345437;EIDW_DEL;2016-12-11;2017-03-05;1304314
1345437;EIDW_GND;2016-12-11;2017-03-05;1304314
